track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
6XjDF6nds4DE2BBbagZol6,222000,96,0.791,0.446,0.499,2.41e-05,0.0899,-8.472,0.0509,99.986,4,0
5bi0gh89wRuH2OgjdAKFsb,193038,87,0.725,0.321,0.709,0.000189,0.114,-5.017,0.129,99.993,4,0
5aIVCx5tnk0ntmdiinnYvw,200255,86,0.673,0.0856,0.722,0.0,0.137,-3.495,0.0755,117.187,4,0
3lCb7ZYE3Fvie4JOPqpXfY,167228,43,0.731,0.054,0.685,0.0,0.0865,-4.707,0.12,121.991,4,0
4IFd7EVCyJsUHesBMXI8ju,172794,83,0.724,0.17,0.555,2.61e-05,0.322,-7.2,0.0507,100.047,4,0
6UTLdGOkbRPJzlU2nPvZlH,153842,63,0.687,0.171,0.786,0.0,0.177,-5.773,0.266,142.996,4,0
4Na2HfNSr58chvfX69fy36,144000,85,0.915,0.0872,0.453,0.000163,0.104,-4.589,0.27,139.943,4,0
6AI3ezQ4o3HUoP6Dhudph3,274192,96,0.898,0.0107,0.472,0.0,0.141,-7.001,0.0776,101.061,4,0
7iabz12vAuVQYyekFIWJxD,140733,90,0.882,0.359,0.764,0.0,0.119,-5.241,0.204,140.113,4,0
4KWeGKChLKcnZsj3sIOSkW,284892,81,0.649,0.263,0.663,0.0,0.144,-9.059,0.229,139.023,4,0
2hrycoFU1mZw6YPvMcn8yC,122360,86,0.645,0.158,0.634,3.78e-06,0.0908,-3.769,0.0341,160.017,4,0
0SdBkFh6u5IHIXqlBu0NyI,142702,76,0.894,0.0243,0.66,0.0,0.139,-5.349,0.33,148.072,4,0
0KFXE2mLTFdOKkTZEDgJPv,161053,72,0.65,0.0285,0.655,0.0,0.159,-5.43,0.0385,154.993,4,0
7Lfwb4IjZiNYGuqtP65kIc,179210,73,0.571,0.0137,0.632,3.26e-05,0.394,-8.38,0.0304,150.062,4,0
6EUcP55GlbmsmCzfL2vxtZ,90760,78,0.887,0.381,0.727,1.16e-06,0.213,-4.318,0.135,130.035,4,0
2tudvzsrR56uom6smgOcSf,267706,89,0.814,0.00709,0.676,1.28e-05,0.119,-4.67,0.231,162.012,4,0
7Mg5CBO37Rifk2RyDJ8fzd,131291,78,0.759,0.675,0.546,0.0,0.591,-8.159,0.484,90.059,3,0
2NSW4qmlIH579VojzLlPdE,198060,57,0.749,0.0258,0.802,0.0,0.118,-5.78,0.0858,107.996,4,0
0ZBg0OsGKgZajDgFtryiz7,165346,71,0.915,0.0445,0.596,0.0,0.108,-4.462,0.0729,121.992,4,0
57L5EYzCfHS7Jd58rV33lW,190074,69,0.61,0.318,0.682,0.0,0.321,-4.877,0.123,142.966,4,0
0l3raueiJ78IsmZGwo6CRm,202840,69,0.829,0.0741,0.519,0.0,0.0969,-6.822,0.339,157.039,4,0
28drn6tQo95MRvO0jQEo5C,228266,87,0.64,0.0215,0.552,0.0,0.119,-5.679,0.129,144.941,4,0
0QpiyJbgWUjyAQNqjIA5tO,161142,75,0.638,0.000976,0.625,0.732,0.157,-6.909,0.117,140.047,4,0
57lsYy0OZLNb5OQ7fEa3Hs,118002,87,0.635,0.229,0.574,0.0,0.126,-7.453,0.322,153.938,4,0
52eIcoLUM25zbQupAZYoFh,270697,86,0.625,0.00598,0.733,0.000983,0.375,-8.757,0.0488,172.09,4,0
1wFFFzJ5EsKbBWZriAcubN,456933,79,0.527,0.0047,0.492,0.0,0.306,-9.774,0.279,164.005,4,0
2hKYtHbwYOSjvYQhVdUpdQ,164571,79,0.891,0.0787,0.526,3.04e-05,0.133,-6.52,0.368,140.06,4,0
57wp7VFnV8X0pSVnYArGeJ,161342,83,0.803,0.128,0.512,0.0,0.0928,-6.871,0.066,96.02,4,0
487JCvAXVblflZyDJn3fSp,181165,68,0.749,0.155,0.709,0.0,0.329,-6.385,0.259,78.53,4,0
0hKtu53OlIFXVuYkZwcn3o,169840,81,0.876,0.431,0.412,0.0,0.101,-7.74,0.0748,130.052,4,0
0HGItm7Ox9AnHZbx26nkE4,137142,75,0.942,0.0726,0.461,9.54e-06,0.111,-8.233,0.302,105.025,4,0
